source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,9,here's a little present to thank you for your support ❤️❤️❤️ after making her suck it ....i fucked her for 10+ minutes until she creamed all over that dildo 😋😋😋 that video will be sent in ur inboxes next week 😘 have a great weekend xoxoxox,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,10,"here's a little freebie for all my subscribers ❤️❤️❤️ i appreciate everyone's support 😘😘 so this is a pretty funny story lol...it was supposed a long / full video until i came ...but 3 minutes into it ...the landscapers show up and i see a guy starring right at us in the window 😂 so we jumped out of there and stopped (cuz they stayed a long time lol) --- basically i got ""blue balled"" by the damn landscapers 😂",0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,13,🎁 here's a little gift for you 🎁 thank you for being subscribed to my pageh,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,15,Hey guys ❤️ I forgot the text part that went along with the FREE video I sent you 😂 so I just wanted to say THANK YOU for being subscribed and I appreciate your support 😍 enjoy 💦💦💦,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,17,here's a free video cuz im fucking horny 😋 you better give me all your cum today 💦 💦,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,22,here's a little gift for you ❤️ picture waking up next to me and just making me cum cuz im always so horny in the morning 😋😋😋,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,24,Who do U choose ? A ride with me or a ride in the car 😝,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,25,❤️ this will help you start ur weekend on the right foot ❤️listen the instructions and give me your cum 💦 💦,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,26,i want you to cum shower with me 😋 i need help in there ...i need more hands and i need a cock 💦💦 have a great Sunday and thank you for being subscribed ❤️❤️❤️❤️❤️,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,27,I’m gagged right now but I still wanted to wish u a Merry Christmas ❤️❤️ All the best to you and your family 😘😘,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,28,how long do u think you would last? 💦 💦,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,30,❤️❤️ here's a little gift ❤️❤️ i was EXTRA horny in this one so i thought i would share with all of you 😝 2 toys + a butt plug + oiled up 💦 thank you for being subscribed :),0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,33,🎁 here's a little something for you 🎁,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,36,hey love ❤️ here's my super bowl gift 😝 part 2 of the bath video from last time!! enjoy 💦,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,38,❤️ Happy Valentine's Day ❤️ here's my Valentine's day gift to you 😘😘 thank you for your support,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,41,here's a video from last August for u...just cuz i miss Summer way too much!!! i hope u had a great weekend ❤️and i wish you a fantastic week 😘😘 thank you for being subscribed and i hope you're enjoying the ride 😋,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,44,here's a preview of that masked video 😝 u can unlock the full video right above,0.0,Follow Up MassMessage Bump,False,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,45,happy Sunday ❤️❤️❤️ today i decided to bring u with me while i washed my car 😂so u can see something different ...not the typical porn stuff u always see....but of course i made it interesting 😋😋also i want to take the opportunity to thank you for your support ❤️i appreciate it,0.0,Follow Up MassMessage Bump,False,False,False
